epsilon,gamma,iters,optimal_path_length,valid_path,seed
0.12012954711733922,0.012973856877012125,588,13,False,7
0.12012954711733922,0.012973856877012125,588,13,False,5
0.8077313856388334,0.9545946316776348,1498,23,True,0
0.8077313856388334,0.9545946316776348,1489,23,True,1
0.12012954711733922,0.012973856877012125,586,13,False,1
0.12012954711733922,0.012973856877012125,585,13,False,2
0.12012954711733922,0.012973856877012125,586,13,False,3
0.12012954711733922,0.012973856877012125,588,13,False,4
0.12012954711733922,0.012973856877012125,595,13,False,6
0.12012954711733922,0.012973856877012125,590,13,False,9
0.12012954711733922,0.012973856877012125,587,13,False,8
0.12012954711733922,0.012973856877012125,583,13,False,0
0.8077313856388334,0.9545946316776348,1370,23,True,2
0.8077313856388334,0.9545946316776348,1281,23,True,3
0.4944666345225752,0.35281122982652374,796,23,True,0
0.4944666345225752,0.35281122982652374,839,23,True,2
0.4944666345225752,0.35281122982652374,840,23,True,1
0.8077313856388334,0.9545946316776348,617,23,True,8
0.4944666345225752,0.35281122982652374,797,23,True,3
0.4944666345225752,0.35281122982652374,827,23,True,5
0.8077313856388334,0.9545946316776348,1026,23,True,5
0.4944666345225752,0.35281122982652374,840,23,True,4
0.4944666345225752,0.35281122982652374,839,23,True,8
0.4944666345225752,0.35281122982652374,799,23,True,9
0.4944666345225752,0.35281122982652374,833,23,True,6
0.4944666345225752,0.35281122982652374,824,23,True,7
0.8077313856388334,0.9545946316776348,1377,23,True,4
0.8077313856388334,0.9545946316776348,1405,23,True,7
0.8077313856388334,0.9545946316776348,1474,23,True,6
0.8077313856388334,0.9545946316776348,1641,23,True,9
0.9653950371492775,0.5278927488459108,1611,23,True,2
0.9653950371492775,0.5278927488459108,1657,23,True,3
0.3495971061287024,0.5009107855233265,814,23,True,0
0.3495971061287024,0.5009107855233265,814,23,True,1
0.3495971061287024,0.5009107855233265,811,23,True,2
0.3495971061287024,0.5009107855233265,787,23,True,3
0.3495971061287024,0.5009107855233265,809,23,True,4
0.3495971061287024,0.5009107855233265,796,23,True,5
0.3495971061287024,0.5009107855233265,801,23,True,6
0.3495971061287024,0.5009107855233265,803,23,True,7
0.3495971061287024,0.5009107855233265,806,23,True,8
0.3495971061287024,0.5009107855233265,809,23,True,9
0.6318977701085245,0.12388243973768269,958,29,True,0
0.6318977701085245,0.12388243973768269,1257,29,True,1
0.6318977701085245,0.12388243973768269,1407,29,True,2
0.9653950371492775,0.5278927488459108,1504,23,True,1
0.6318977701085245,0.12388243973768269,1361,29,True,3
0.6318977701085245,0.12388243973768269,1418,29,True,4
0.9653950371492775,0.5278927488459108,1501,23,True,7
0.9653950371492775,0.5278927488459108,1568,23,True,6
0.9653950371492775,0.5278927488459108,1660,23,True,0
0.9653950371492775,0.5278927488459108,1664,23,True,4
0.9653950371492775,0.5278927488459108,1562,23,True,8
0.6318977701085245,0.12388243973768269,1254,29,True,6
0.9653950371492775,0.5278927488459108,1670,23,True,5
0.6318977701085245,0.12388243973768269,1336,29,True,7
0.6318977701085245,0.12388243973768269,1364,29,True,5
0.6883961300197865,0.05547644744082211,700,13,False,3
0.9653950371492775,0.5278927488459108,1709,23,True,9
0.6883961300197865,0.05547644744082211,711,13,False,5
0.6318977701085245,0.12388243973768269,1253,29,True,9
0.6318977701085245,0.12388243973768269,1446,29,True,8
0.6883961300197865,0.05547644744082211,686,13,False,0
0.6883961300197865,0.05547644744082211,681,13,False,2
0.6883961300197865,0.05547644744082211,689,13,False,1
0.6883961300197865,0.05547644744082211,700,13,False,7
0.6883961300197865,0.05547644744082211,711,13,False,4
0.10111918616616827,0.1634972425157174,1093,23,True,0
0.6883961300197865,0.05547644744082211,709,13,False,9
0.10111918616616827,0.1634972425157174,1129,23,True,5
0.10111918616616827,0.1634972425157174,1130,23,True,1
0.6883961300197865,0.05547644744082211,704,13,False,6
0.10111918616616827,0.1634972425157174,1122,23,True,2
0.10111918616616827,0.1634972425157174,1084,23,True,4
0.10111918616616827,0.1634972425157174,1136,23,True,3
0.10111918616616827,0.1634972425157174,1120,23,True,8
0.6883961300197865,0.05547644744082211,721,13,False,8
0.10111918616616827,0.1634972425157174,1115,23,True,6
0.10111918616616827,0.1634972425157174,1119,23,True,9
0.10111918616616827,0.1634972425157174,1453,23,True,7
0.8668889160539355,0.3162270175470416,1568,23,True,5
0.8668889160539355,0.3162270175470416,1920,23,True,8
0.7081919489653663,0.8494986001803604,650,23,True,0
0.8668889160539355,0.3162270175470416,1191,23,True,2
0.8668889160539355,0.3162270175470416,1305,23,True,1
0.7081919489653663,0.8494986001803604,655,23,True,1
0.7081919489653663,0.8494986001803604,662,23,True,2
0.8668889160539355,0.3162270175470416,1478,23,True,0
0.8668889160539355,0.3162270175470416,1341,23,True,3
0.8668889160539355,0.3162270175470416,1422,23,True,4
0.7081919489653663,0.8494986001803604,736,23,True,5
0.7081919489653663,0.8494986001803604,688,23,True,6
0.7081919489653663,0.8494986001803604,696,23,True,3
0.7081919489653663,0.8494986001803604,748,23,True,4
0.8668889160539355,0.3162270175470416,1590,23,True,7
0.7081919489653663,0.8494986001803604,642,23,True,8
0.7081919489653663,0.8494986001803604,646,23,True,7
0.7081919489653663,0.8494986001803604,670,23,True,9
0.8668889160539355,0.3162270175470416,1589,23,True,9
0.8668889160539355,0.3162270175470416,1906,23,True,6
0.8818723347421167,0.8839991257772634,1295,23,True,1
0.8818723347421167,0.8839991257772634,1806,23,True,0
0.09377397459033049,0.14403577212455348,1091,23,True,0
0.09377397459033049,0.14403577212455348,1105,23,True,1
0.09377397459033049,0.14403577212455348,1089,23,True,2
0.09377397459033049,0.14403577212455348,1100,23,True,3
0.09377397459033049,0.14403577212455348,1110,23,True,4
0.8818723347421167,0.8839991257772634,1410,23,True,2
0.8818723347421167,0.8839991257772634,1399,23,True,3
0.09377397459033049,0.14403577212455348,1082,23,True,6
0.09377397459033049,0.14403577212455348,1094,23,True,5
0.8818723347421167,0.8839991257772634,1475,23,True,6
0.09377397459033049,0.14403577212455348,1103,23,True,9
0.41240636938956016,0.1619961456756079,967,23,True,0
0.8818723347421167,0.8839991257772634,1743,23,True,4
0.09377397459033049,0.14403577212455348,1088,23,True,7
0.09377397459033049,0.14403577212455348,1106,23,True,8
0.8818723347421167,0.8839991257772634,1640,23,True,7
0.8818723347421167,0.8839991257772634,1773,23,True,5
0.8818723347421167,0.8839991257772634,1641,23,True,8
0.41240636938956016,0.1619961456756079,947,23,True,3
0.41240636938956016,0.1619961456756079,1346,23,True,2
0.18405926726099217,0.7021533832737714,774,23,True,0
0.18405926726099217,0.7021533832737714,769,23,True,1
0.8818723347421167,0.8839991257772634,1846,23,True,9
0.18405926726099217,0.7021533832737714,783,23,True,2
0.18405926726099217,0.7021533832737714,783,23,True,3
0.41240636938956016,0.1619961456756079,1287,23,True,1
0.41240636938956016,0.1619961456756079,988,23,True,5
0.41240636938956016,0.1619961456756079,935,23,True,7
0.41240636938956016,0.1619961456756079,1220,23,True,4
0.41240636938956016,0.1619961456756079,1151,23,True,6
0.18405926726099217,0.7021533832737714,774,23,True,5
0.18405926726099217,0.7021533832737714,769,23,True,6
0.41240636938956016,0.1619961456756079,950,23,True,8
0.41240636938956016,0.1619961456756079,1142,23,True,9
0.18405926726099217,0.7021533832737714,766,23,True,4
0.18405926726099217,0.7021533832737714,765,23,True,7
0.18405926726099217,0.7021533832737714,759,23,True,8
0.20541048295617068,0.28823982893905786,903,23,True,3
0.20541048295617068,0.28823982893905786,880,23,True,2
0.18405926726099217,0.7021533832737714,771,23,True,9
0.23760270632008706,0.7308848855552428,759,23,True,0
0.20541048295617068,0.28823982893905786,923,23,True,0
0.20541048295617068,0.28823982893905786,896,23,True,1
0.20541048295617068,0.28823982893905786,888,23,True,9
0.20541048295617068,0.28823982893905786,922,23,True,4
0.20541048295617068,0.28823982893905786,885,23,True,5
0.23760270632008706,0.7308848855552428,754,23,True,1
0.23760270632008706,0.7308848855552428,768,23,True,2
0.20541048295617068,0.28823982893905786,906,23,True,6
0.23760270632008706,0.7308848855552428,757,23,True,5
0.20541048295617068,0.28823982893905786,892,23,True,8
0.20541048295617068,0.28823982893905786,907,23,True,7
0.23760270632008706,0.7308848855552428,756,23,True,3
0.23760270632008706,0.7308848855552428,762,23,True,9
0.23760270632008706,0.7308848855552428,766,23,True,4
0.23760270632008706,0.7308848855552428,760,23,True,6
0.31138455729306624,0.27245751527197515,883,23,True,1
0.23760270632008706,0.7308848855552428,763,23,True,7
0.23760270632008706,0.7308848855552428,768,23,True,8
0.31138455729306624,0.27245751527197515,922,23,True,5
0.31138455729306624,0.27245751527197515,891,23,True,0
0.31138455729306624,0.27245751527197515,892,23,True,8
0.31138455729306624,0.27245751527197515,904,23,True,2
0.31138455729306624,0.27245751527197515,907,23,True,3
0.37685926191118946,0.5213540531663429,811,23,True,1
0.31138455729306624,0.27245751527197515,894,23,True,6
0.31138455729306624,0.27245751527197515,886,23,True,4
0.31138455729306624,0.27245751527197515,886,23,True,7
0.37685926191118946,0.5213540531663429,785,23,True,0
0.37685926191118946,0.5213540531663429,790,23,True,3
0.31138455729306624,0.27245751527197515,871,23,True,9
0.37685926191118946,0.5213540531663429,786,23,True,6
0.37685926191118946,0.5213540531663429,795,23,True,2
0.37685926191118946,0.5213540531663429,797,23,True,4
0.37685926191118946,0.5213540531663429,787,23,True,5
0.37685926191118946,0.5213540531663429,779,23,True,8
0.37685926191118946,0.5213540531663429,801,23,True,7
0.37685926191118946,0.5213540531663429,805,23,True,9
0.6082581652499482,0.07471687956745142,778,13,False,1
0.30126973078109714,0.9688372086453753,737,23,True,0
0.6082581652499482,0.07471687956745142,797,13,False,3
0.30126973078109714,0.9688372086453753,714,23,True,1
0.30126973078109714,0.9688372086453753,712,23,True,2
0.30126973078109714,0.9688372086453753,720,23,True,3
0.30126973078109714,0.9688372086453753,728,23,True,4
0.6082581652499482,0.07471687956745142,791,13,False,0
0.30126973078109714,0.9688372086453753,707,23,True,5
0.6082581652499482,0.07471687956745142,781,13,False,2
0.30126973078109714,0.9688372086453753,715,23,True,6
0.6082581652499482,0.07471687956745142,814,13,False,4
0.30126973078109714,0.9688372086453753,722,23,True,8
0.6082581652499482,0.07471687956745142,804,13,False,5
0.6082581652499482,0.07471687956745142,795,13,False,6
0.6082581652499482,0.07471687956745142,779,13,False,7
0.30126973078109714,0.9688372086453753,720,23,True,7
0.6082581652499482,0.07471687956745142,784,13,False,8
0.30126973078109714,0.9688372086453753,703,23,True,9
0.6082581652499482,0.07471687956745142,775,13,False,9
